Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
CASY,7/7 7/7,2025-04-02, 443.88$,  0.74,  0.96,3650,1,  1.07,  1.11,  1.13,  1.04,  1.05,  1.02,  1.02,0.873,  1.52,  6.17, 21.51, 19.63,  1.06,7/7,7/7,N/A,N/A
FER,7/7 6/7,2025-04-02,  46.30$,  2.30,  1.64,3650,1,  1.05,  1.10,  1.12,  1.05,  1.06,  1.01,  1.01,0.957,  2.30,  5.76, 21.51, 19.63,  1.03,7/7,6/7,N/A,N/A
FTI,7/7 5/7,2025-04-02,  32.62$,  1.40,  1.18,3650,2,  1.10,  1.14,  1.16,  1.03,  1.05,  1.02,  1.01,1.55,  1.64,  6.00, 21.51, 19.63,  1.07,7/7,5/7,N/A,N/A
IDA,7/7 6/7,2025-04-02, 119.08$,  1.44,  0.94,3650,1,  1.06,  1.09,  1.13,  1.04,  1.07,  1.03,  1.02,0.587,  1.44,  3.62, 21.51, 19.63,  1.04,7/7,6/7,N/A,N/A
OGE,7/7 7/7,2025-04-02,  46.38$,  0.54,  0.90,3650,1,  1.05,  1.11,  1.15,  1.05,  1.09,  1.03,  1.03,0.686,  1.03,  3.14, 21.51, 19.63,  1.03,7/7,7/7,N/A,N/A
RUSHB,7/7 5/7,2025-04-02,  59.52$,  1.78,  0.73,3650,1,  1.06,  1.13,  1.19,  1.07,  1.12,  1.05,  1.03,1.062,  3.47,  5.94, 21.51, 19.63,  1.04,7/7,5/7,N/A,N/A
STEW,7/7 5/7,2025-04-02,  17.34$,  0.41,  1.73,3650,2,  1.04,  1.08,  1.11,  1.04,  1.06,  1.02,  1.02,0.922,  0.41,  2.56, 21.51, 19.63,  1.02,7/7,5/7,N/A,N/A
WMB,7/7 5/7,2025-04-02,  61.60$,  1.70,  0.93,3650,2,  1.08,  1.16,  1.23,  1.07,  1.13,  1.06,  1.04,1.071,  1.70,  8.43, 21.51, 19.63,  1.03,7/7,5/7,N/A,N/A
