Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
AU, 18.62B,2025-03-28,  36.98$,  2.21,  1.34,3650,6,  1.20,  1.33,  1.35,  1.11,  1.13,  1.01,  1.03,0.924,  2.21,  9.20, 21.65, 19.46,  1.06,7/7,4/6,84.62%,N/A
CNP, 23.66B,2025-03-28,  36.25$,  1.63,  1.36,3650,5,  1.08,  1.17,  1.20,  1.08,  1.11,  1.02,  1.02,0.904,  1.63,  3.45, 21.65, 19.46,  1.02,7/7,4/6,84.62%,N/A
ED, 38.40B,2025-03-28, 108.77$,  0.82,  0.93,3650,3,  1.10,  1.11,  1.13,  1.01,  1.02,  1.02,  1.01,0.285,  1.81,  4.73, 21.65, 19.46,  1.01,7/7,5/6,92.31%,N/A
GFI, 19.61B,2025-03-28,  21.91$,  4.53,  2.19,3650,148,  1.17,  1.35,  1.36,  1.16,  1.17,  1.01,  1.03,0.765,  4.53,  8.42, 21.65, 19.46,  1.04,7/7,5/6,92.31%,N/A
PPL, 26.36B,2025-03-28,  35.71$,  2.09,  2.05,3650,30,  1.05,  1.09,  1.13,  1.04,  1.07,  1.04,  1.02,0.784,  2.09,  3.30, 21.65, 19.46,  1.03,7/7,5/6,92.31%,N/A
PRMB, 13.28B,2025-03-28,  35.30$,  2.47,  3.10,3650,11,  1.08,  1.23,  1.33,  1.14,  1.23,  1.07,  1.05,1.087,  2.47,  5.44, 21.65, 19.46,  1.08,7/7,5/6,92.31%,N/A
