Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
AEP, 57.12B,2025-03-31, 109.27$,  2.16,  1.86,3650,4,  1.07,  1.11,  1.13,  1.04,  1.06,  1.02,  1.02,0.492,  2.16,  4.53, 22.28, 19.45,  1.04,7/7,5/6,92.31%,N/A
ATO, 24.20B,2025-03-31, 154.58$,  1.39,  1.25,3650,6,  1.05,  1.10,  1.14,  1.04,  1.08,  1.04,  1.03,0.664,  1.39,  3.51, 22.28, 19.45,  1.03,7/7,5/6,92.31%,N/A
DTE, 28.34B,2025-03-31, 138.27$,  1.24,  0.86,3650,1,  1.08,  1.12,  1.14,  1.03,  1.06,  1.02,  1.02,0.601,  1.24,  3.73, 22.28, 19.45,  1.02,7/7,4/6,84.62%,N/A
DUK, 92.78B,2025-03-31, 121.97$,  2.14,  1.79,3650,10,  1.06,  1.08,  1.11,  1.02,  1.04,  1.02,  1.02,0.465,  2.14,  2.52, 22.28, 19.45,  1.03,7/7,5/6,92.31%,N/A
EPD, 73.81B,2025-03-31,  34.14$,  0.18,  0.74,3650,1,  1.02,  1.10,  1.13,  1.08,  1.11,  1.03,  1.02,1.054,  0.38,  2.78, 22.28, 19.45,  1.01,7/7,4/6,84.62%,N/A
EVRG, 15.61B,2025-03-31,  68.95$,  1.59,  1.20,3650,2,  1.05,  1.11,  1.15,  1.06,  1.09,  1.03,  1.03,0.602,  1.59,  2.62, 22.28, 19.45,  1.02,7/7,5/6,92.31%,N/A
FTS, 22.64B,2025-03-31,  45.58$,  0.62,  1.03,714,16,  1.04,  1.04,  1.07,  1.01,  1.03,  1.02,  1.01,0.237,  1.25,  2.86, 22.28, 19.45,  1.01,7/7,4/6,84.62%,N/A
PNW, 11.22B,2025-03-31,  95.25$,  1.15,  0.77,3650,1,  1.06,  1.08,  1.11,  1.02,  1.05,  1.03,  1.02,0.533,  1.24,  3.90, 22.28, 19.45,  1.02,7/7,4/6,84.62%,N/A
